"","nm","m1","bw","m2","focr","focr_se","fdr","fdr_se","pwr","pwr_se","mu_type","cov_type","snr"
"167","FOCR-O3-BH","FOCR (overlap)","3","BH",NA,NA,0.00185180637251746,8.69021627896234e-05,0.609421586165772,0.000391596431845726,"sine","iid",0.285714285714286
"168","FOCR-O3-LAWS","FOCR (overlap)","3","LAWS",NA,NA,0.00403953962932042,0.000130591620358256,0.658974358974359,0.000412085752004436,"sine","iid",0.285714285714286
"169","FOCR-O3-SABHA","FOCR (overlap)","3","SABHA",NA,NA,0.00218597115744614,9.08930564818152e-05,0.652116875372689,0.000428495751583395,"sine","iid",0.285714285714286
"170","FOCR-D3-RAW","FOCR (disjoint)","3","",0.0184979570506808,0.000486837564889095,0.0186693377890718,0.000485062630986532,0.684138342277877,0.000613468580341322,"sine","iid",0.285714285714286
"171","FOCR-D3-BH","FOCR (disjoint)","3","BH",NA,NA,0.00100912367466519,7.21121047655504e-05,0.592725104353011,0.000354799230570241,"sine","iid",0.285714285714286
"172","FOCR-D3-LAWS","FOCR (disjoint)","3","LAWS",NA,NA,0.00140731060108688,7.29303516342831e-05,0.63005366726297,0.000441647452406476,"sine","iid",0.285714285714286
"173","FOCR-D3-SABHA","FOCR (disjoint)","3","SABHA",NA,NA,0.000856346311719729,5.68638881930194e-05,0.624448419797257,0.000440962109835792,"sine","iid",0.285714285714286
"174","FOCR-O11-RAW","FOCR (overlap)","11","",0.0129861875023314,0.000393518113996931,0.0592446226244809,0.00082596046536494,0.847942754919499,0.000616721139620067,"sine","iid",0.285714285714286
"175","FOCR-O11-BH","FOCR (overlap)","11","BH",NA,NA,0.00387180525883435,0.000167497587099853,0.62397137745975,0.000337101706469538,"sine","iid",0.285714285714286
"176","FOCR-O11-LAWS","FOCR (overlap)","11","LAWS",NA,NA,0.000438158776163069,6.56067775738866e-05,0.671198568872987,0.00039566658577658,"sine","iid",0.285714285714286
"177","FOCR-O11-SABHA","FOCR (overlap)","11","SABHA",NA,NA,0.0016875381354556,0.000124058583880552,0.657901013714967,0.000432752507108226,"sine","iid",0.285714285714286
"178","FOCR-D11-RAW","FOCR (disjoint)","11","",0.013281597521007,0.000518697067096407,0.0151547671412883,0.000523723044617482,0.763983303518187,0.000648116632238291,"sine","iid",0.285714285714286
"179","FOCR-D11-BH","FOCR (disjoint)","11","BH",NA,NA,0.00104021591062992,7.65579052825786e-05,0.620572450805009,0.000417074101442499,"sine","iid",0.285714285714286
"180","FOCR-D11-LAWS","FOCR (disjoint)","11","LAWS",NA,NA,8.70322019147084e-05,1.588983340601e-05,0.655813953488372,0.000454562561498426,"sine","iid",0.285714285714286
"181","FOCR-D11-SABHA","FOCR (disjoint)","11","SABHA",NA,NA,0.000638253661866227,5.72082671916677e-05,0.645199761478831,0.000437724759310747,"sine","iid",0.285714285714286
"182","FOCR-O21-RAW","FOCR (overlap)","21","",0.00688211124141588,0.000466018569325496,0.118139804705484,0.00101588887505858,0.909242695289207,0.000456804848153722,"sine","iid",0.285714285714286
"183","FOCR-O21-BH","FOCR (overlap)","21","BH",NA,NA,0.00715442229731285,0.000255396351959261,0.621705426356589,0.000357690354035184,"sine","iid",0.285714285714286
"184","FOCR-O21-LAWS","FOCR (overlap)","21","LAWS",NA,NA,0.00205177180167782,9.53959059627592e-05,0.666249254621348,0.000370801736724314,"sine","iid",0.285714285714286
"185","FOCR-O21-SABHA","FOCR (overlap)","21","SABHA",NA,NA,0.00504889786717716,0.000176081501123999,0.652713178294574,0.000378022688828052,"sine","iid",0.285714285714286
"186","FOCR-D21-RAW","FOCR (disjoint)","21","",0.00434782608695652,0.000442215328448355,0.0446891272978229,0.000452945521126336,0.802564102564103,0.000490846311929322,"sine","iid",0.285714285714286
"187","FOCR-D21-BH","FOCR (disjoint)","21","BH",NA,NA,0.00266009814478314,0.000144110316048299,0.623017292784735,0.00033983073282924,"sine","iid",0.285714285714286
"188","FOCR-D21-LAWS","FOCR (disjoint)","21","LAWS",NA,NA,0.000364182722743732,3.92695397736454e-05,0.649493142516398,0.000356385369995179,"sine","iid",0.285714285714286
"189","FOCR-D21-SABHA","FOCR (disjoint)","21","SABHA",NA,NA,0.00129323450485398,9.94238320808148e-05,0.63840190816935,0.000355282718276584,"sine","iid",0.285714285714286
"190","BH","BH","","",NA,NA,0.0246020633501398,0.000327317019847286,0.628026237328563,0.000392097088046578,"sine","iid",0.302325581395349
"191","LAWS","LAWS","","",NA,NA,0.0298748815750248,0.000359537057414119,0.660703637447823,0.000410849097125278,"sine","iid",0.302325581395349
"192","SABHA","SABHA","","",NA,NA,0.0370898658485489,0.000341000913620421,0.661121049493143,0.00043754264734898,"sine","iid",0.302325581395349
"193","FOCR-O3-RAW","FOCR (overlap)","3","",0.0197214696526868,0.00039383686310216,0.0374580760209689,0.00065482890770377,0.74943351222421,0.000537456465977254,"sine","iid",0.302325581395349
"194","FOCR-O3-BH","FOCR (overlap)","3","BH",NA,NA,0.00159577895211812,0.000114851292829257,0.633929636255218,0.000399393528017369,"sine","iid",0.302325581395349
"195","FOCR-O3-LAWS","FOCR (overlap)","3","LAWS",NA,NA,0.00512913706786525,0.000175181577377582,0.67793679189028,0.000484307996377022,"sine","iid",0.302325581395349
"196","FOCR-O3-SABHA","FOCR (overlap)","3","SABHA",NA,NA,0.00317001128512472,0.000155054806911164,0.67149672033393,0.00048984609765095,"sine","iid",0.302325581395349
"197","FOCR-D3-RAW","FOCR (disjoint)","3","",0.0194445387427097,0.000470363967919563,0.0200955150212877,0.0004793653376106,0.705784138342278,0.000564342723753469,"sine","iid",0.302325581395349
"198","FOCR-D3-BH","FOCR (disjoint)","3","BH",NA,NA,0.000483541892699252,4.442360617523e-05,0.615802027429934,0.000366477822886764,"sine","iid",0.302325581395349
"199","FOCR-D3-LAWS","FOCR (disjoint)","3","LAWS",NA,NA,0.00138122369286917,8.9325717616331e-05,0.652116875372689,0.000487399476216794,"sine","iid",0.302325581395349
"200","FOCR-D3-SABHA","FOCR (disjoint)","3","SABHA",NA,NA,0.000557208372634676,4.47998831304496e-05,0.646273106738223,0.00050523612346851,"sine","iid",0.302325581395349
"201","FOCR-O11-RAW","FOCR (overlap)","11","",0.0086846633690128,0.000349776201041406,0.0549549515392728,0.000937614108109712,0.865295169946333,0.000655119569086334,"sine","iid",0.302325581395349
