"","nm","m1","bw","m2","focr","focr_se","fdr","fdr_se","pwr","pwr_se","mu_type","cov_type","snr"
"82","FOCR-O11-RAW","FOCR (overlap)","11","",0.0287255501193373,0.00272595096898439,0.0625485722657524,0.00258981517064771,0.221485061511424,0.00433285023622312,"step","AR",0.188888888888889
"83","FOCR-O11-BH","FOCR (overlap)","11","BH",NA,NA,0.0393755912823299,0.00272829460036058,0.180887521968366,0.00348150853136257,"step","AR",0.188888888888889
"84","FOCR-O11-LAWS","FOCR (overlap)","11","LAWS",NA,NA,0.0430484896493622,0.00277962607849896,0.194507908611599,0.00382444898388012,"step","AR",0.188888888888889
"85","FOCR-O11-SABHA","FOCR (overlap)","11","SABHA",NA,NA,0.0343697518132322,0.0029101056651964,0.173681898066784,0.00358250214621604,"step","AR",0.188888888888889
"86","FOCR-D11-RAW","FOCR (disjoint)","11","",0.0251735369893265,0.00207297938351604,0.0388311480402962,0.00209449825625818,0.177636203866432,0.00314840951601721,"step","AR",0.188888888888889
"87","FOCR-D11-BH","FOCR (disjoint)","11","BH",NA,NA,0.0364298717993896,0.00302675754745446,0.147231985940246,0.0026587049778027,"step","AR",0.188888888888889
"88","FOCR-D11-LAWS","FOCR (disjoint)","11","LAWS",NA,NA,0.0359556337484435,0.00292677972760366,0.154525483304042,0.00288924559024409,"step","AR",0.188888888888889
"89","FOCR-D11-SABHA","FOCR (disjoint)","11","SABHA",NA,NA,0.0323137326147382,0.00311937282189129,0.134841827768014,0.00281553926394004,"step","AR",0.188888888888889
"90","FOCR-O21-RAW","FOCR (overlap)","21","",0.0277369570579894,0.00244407290292733,0.0827495315216071,0.00238399093015018,0.321177504393673,0.00513312247526456,"step","AR",0.188888888888889
"91","FOCR-O21-BH","FOCR (overlap)","21","BH",NA,NA,0.0418104622211885,0.00315720447405264,0.21225834797891,0.00329277523008713,"step","AR",0.188888888888889
"92","FOCR-O21-LAWS","FOCR (overlap)","21","LAWS",NA,NA,0.0487764187326493,0.00289465058947741,0.26572934973638,0.00437602014495402,"step","AR",0.188888888888889
"93","FOCR-O21-SABHA","FOCR (overlap)","21","SABHA",NA,NA,0.0378770682092501,0.00316316931613417,0.226845342706503,0.00418402044327541,"step","AR",0.188888888888889
"94","FOCR-D21-RAW","FOCR (disjoint)","21","",0.0205018939393939,0.00240126185794492,0.0459069320230035,0.00248960046494956,0.258611599297012,0.00369941348604379,"step","AR",0.188888888888889
"95","FOCR-D21-BH","FOCR (disjoint)","21","BH",NA,NA,0.026343114288536,0.00220019596328005,0.196660808435852,0.00290226074509873,"step","AR",0.188888888888889
"96","FOCR-D21-LAWS","FOCR (disjoint)","21","LAWS",NA,NA,0.0282334214296459,0.00235152704753969,0.222583479789104,0.00341103221331757,"step","AR",0.188888888888889
"97","FOCR-D21-SABHA","FOCR (disjoint)","21","SABHA",NA,NA,0.0244908810448628,0.00270473861120304,0.177460456942004,0.00338678387390542,"step","AR",0.188888888888889
"98","FOCR-O41-RAW","FOCR (overlap)","41","",0.024149672973782,0.00228224341705218,0.136883314346362,0.00256826016673474,0.504964850615114,0.00500591460083972,"step","AR",0.188888888888889
"99","FOCR-O41-BH","FOCR (overlap)","41","BH",NA,NA,0.0350538206002841,0.00233884410262174,0.201933216168717,0.00265649439750201,"step","AR",0.188888888888889
"100","FOCR-O41-LAWS","FOCR (overlap)","41","LAWS",NA,NA,0.0429272534731197,0.00216140022274597,0.359929701230228,0.00416864603223146,"step","AR",0.188888888888889
"101","FOCR-O41-SABHA","FOCR (overlap)","41","SABHA",NA,NA,0.0356267462657834,0.00253231239193991,0.286072056239016,0.00421134330176871,"step","AR",0.188888888888889
"102","FOCR-D41-RAW","FOCR (disjoint)","41","",0.0160416666666667,0.001462058353093,0.0622500483933411,0.00201259854391988,0.3548769771529,0.00414774517497841,"step","AR",0.188888888888889
"103","FOCR-D41-BH","FOCR (disjoint)","41","BH",NA,NA,0.026678988650114,0.00201759946186307,0.199912126537786,0.00265628849525674,"step","AR",0.188888888888889
"104","FOCR-D41-LAWS","FOCR (disjoint)","41","LAWS",NA,NA,0.0292893994805102,0.0020654381582174,0.275659050966608,0.00352773780997095,"step","AR",0.188888888888889
"105","FOCR-D41-SABHA","FOCR (disjoint)","41","SABHA",NA,NA,0.0269497143485807,0.00265869457598217,0.197144112478032,0.00374938945393002,"step","AR",0.188888888888889
